Filesystem,Mag of 10,File Size (B),Area (J),Area CPU (J), Active Storage Power,Bandwidth,Filesize/Bandwidth * Active Power
categorical,numeric,numeric,numeric,numeric ,numeric,numeric,numeric
Disk,10,10000,51.8348407,4320.616667,2.4,519,46.24277457
Disk,10,10000,53.28707542,3974.130667,2.4,519,46.24277457
Disk,10,10000,54.29958219,4319.338889,2.4,519,46.24277457
Memory,10,10000,164.919392,1555.851333,2.412,3400,7.094117647
Memory,10,10000,199.4478076,1553.518,2.412,3400,7.094117647
Memory,10,10000,201.7811409,1366.516,2.412,3400,7.094117647
DAOS,10,10000,675.0502729,2211.127273,50,411,1216.545012
DAOS,10,10000,657.8306952,2330.783637,50,411,1216.545012
DAOS,10,10000,740.9483355,2330.783637,50,411,1216.545012
Disk,9,1000,26.0118301,883.5083334,2.4,512,4.6875
Disk,9,1000,34.43244013,891.0083334,2.4,512,4.6875
Disk,9,1000,30.748782,889.2583334,2.4,512,4.6875
Memory,9,1000,28.499188,978.7866666,2.412,3400,0.709411765
Memory,9,1000,42.86569227,682.08,2.412,3400,0.709411765
Memory,9,1000,59.498782,858.5166666,2.412,3400,0.709411765
DAOS,9,1000,165.4251462,2279.964889,50,411,121.6545012
DAOS,9,1000,189.9469685,2609.860667,50,411,121.6545012
DAOS,9,1000,158.9419267,1957.652444,50,411,121.6545012
Disk,8,100,49.41544867,174.6733333,2.4,510,0.470588235
Disk,8,100,45.91544867,169.6733333,2.4,510,0.470588235
Disk,8,100,53.53235893,172.1733333,2.4,510,0.470588235
Memory,8,100,42.86569227,344.3,2.412,3400,0.070941176
Memory,8,100,47.498782,171.8166667,2.412,3400,0.070941176
Memory,8,100,32.48260253,173.3166667,2.412,3400,0.070941176
DAOS,8,100,109.8777481,332.0228572,50,411,12.16545012
DAOS,8,100,83.82152933,166.0114286,50,411,12.16545012
DAOS,8,100,71.9910188,170.0114286,50,411,12.16545012
