Time (seconds),PkgWatt,RAMWatt
0,22.75,2.71
1,20.69,2.46
2,19.93,2.2
3,19.67,2.14
4,18.74,1.91
5,20.29,2.25
6,17.54,1.63
7,18.75,1.87
8,17.83,1.69
9,23.71,2.94
10,108.65,12.5
11,99.73,12.15
12,99.61,12.13
13,99.63,12.43
14,99.99,12.62
15,99.62,12.13
16,99.75,12.15
17,99.67,12.13
18,99.56,12.12
19,99.9,12.19
20,100.46,12.37
21,100.25,12.26
22,99.69,12.15
23,99.64,12.14
24,99.59,12.13
25,99.63,12.14
26,99.69,12.14
27,99.66,12.14
28,99.66,12.13
29,99.69,12.13
30,99.79,12.15
31,99.73,12.14
32,99.75,12.13
33,99.75,12.13
34,99.71,12.13
35,99.8,12.14
36,99.76,12.13
37,99.82,12.14
38,99.77,12.13
39,99.77,12.14
40,99.84,12.13
41,99.76,12.13
42,99.8,12.14
43,99.85,12.58
44,99.91,13.07
45,100.03,13.08
46,100.02,13.07
47,99.96,13.07
48,100.04,13.06
49,100.01,13.09
50,100.57,12.81
51,62.82,8.21
52,99.95,12.41
53,97.59,12.14
54,99.2,12.39
55,99.1,12.41
56,98.39,12.19
57,100.51,12.64
58,96.77,12.05
59,99.54,12.34
60,99.36,12.24
61,96.86,12.08
62,99.63,12.6
63,100.11,12.66
64,98.49,12.69
65,99.82,12.57
66,99.81,12.53
67,100.58,12.82
68,100.89,12.85
69,100.45,12.73
70,100.64,12.82
71,100.39,12.74
72,100.79,12.85
73,100.37,12.7
74,91.66,11.81
75,54.91,8.71
76,93.5,12.48
77,100.51,12.78
78,87.33,11.35
79,95.01,12.2
80,62.41,7.69
81,22.27,2.62
82,52.61,7.21
