Time Elapsed,Timestamp,Sensor,Value,CPU,Difference
0,28,Current,114,24.91,89.09
1,29,Current,140,22.45,117.55
2,30,Current,139,63.72,75.28
3,31,Current,138,19.38,118.62
4,32,Current,133,19.05,113.95
5,33,Current,141,21.3,119.7
6,34,Current,139,21.52,117.48
7,35,Current,138,20.94,117.06
8,36,Current,141,21.91,119.09
9,37,Current,140,22.52,117.48
10,38,Current,136,96.01,39.99
11,39,Current,141,98.43,42.57
12,40,Current,141,98.26,42.74
13,41,Current,140,98.5,41.5
14,42,Current,140,98.25,41.75
15,43,Current,139,98.08,40.92
16,44,Current,142,98.53,43.47
17,45,Current,180,98.38,81.62
18,46,Current,198,98.19,99.81
19,47,Current,207,98.24,108.76
20,48,Current,210,98.35,111.65
21,49,Current,207,98.23,108.77
22,50,Current,205,98.11,106.89
23,51,Current,205,98.26,106.74
24,52,Current,207,98.37,108.63
25,53,Current,206,98.19,107.81
26,54,Current,205,98.31,106.69
27,55,Current,204,105.5,98.5
28,56,Current,204,98.26,105.74
29,57,Current,203,98.25,104.75
30,58,Current,203,98.28,104.72
31,59,Current,203,98.32,104.68
32,60,Current,204,98.35,105.65
33,61,Current,206,98.24,107.76
34,62,Current,206,98.22,107.78
35,63,Current,206,98.2,107.8
36,64,Current,206,98.25,107.75
37,65,Current,205,98.19,106.81
38,66,Current,206,98.3,107.7
39,67,Current,206,98.39,107.61
40,68,Current,206,98.3,107.7
41,69,Current,205,98.23,106.77
42,70,Current,205,99.37,105.63
43,71,Current,204,100.06,103.94
44,72,Current,203,100.1,102.9
45,73,Current,204,100.21,103.79
46,74,Current,203,100.04,102.96
47,75,Current,203,68.87,134.13
48,76,Current,204,99.5,104.5
49,77,Current,208,99.89,108.11
50,78,Current,209,98.64,110.36
51,79,Current,209,99.96,109.04
52,80,Current,208,99.55,108.45
53,81,Current,208,105.59,102.41
54,82,Current,205,100.13,104.87
55,83,Current,188,99.77,88.23
56,84,Current,206,99.55,106.45
57,85,Current,201,99.31,101.69
58,86,Current,209,100.5,108.5
59,87,Current,209,99.17,109.83
60,88,Current,209,100.24,108.76
61,89,Current,208,99.02,108.98
62,90,Current,207,99.76,107.24
63,91,Current,207,100.21,106.79
64,92,Current,206,98.75,107.25
65,93,Current,206,100.14,105.86
66,94,Current,206,99.88,106.12
67,95,Current,206,100.11,105.89
68,96,Current,205,100.02,104.98
69,97,Current,205,99.26,105.74
70,98,Current,205,100.53,104.47
71,99,Current,208,99.97,108.03
72,100,Current,209,99.13,109.87
73,101,Current,208,69.06,138.94
74,102,Current,208,20.57,187.43
75,103,Current,208,23.59,184.41
76,104,Current,207,22.92,184.08
77,105,Current,207,20.09,186.91
78,106,Current,207,21.99,185.01
79,107,Current,204,21.65,182.35
80,108,Current,196,71.62,124.38
81,109,Current,153,21.08,131.92
82,110,Current,146,19.09,126.91
83,111,Current,146,19.1,126.9
84,112,Current,142,21.01,120.99
85,113,Current,142,19.28,122.72
86,114,Current,141,20.08,120.92
87,115,Current,137,19.14,117.86
88,116,Current,137,20.72,116.28
89,117,Current,142,23.74,118.26
