Filesystem,Mag of 10,File Size (B),Area (J),Area (CPU) (J),Active Storage Power,Bandwidth,Filesize/Bandwidth * Active Storage Power
categorical,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Disk,10,10000,10.03526523,3043.90977,2.2,429,51.28205128
Disk,10,10000,8.9398024,2855.956322,2.2,429,51.28205128
Disk,10,10000,1.882449964,3134.335441,2.2,429,51.28205128
Memory,10,10000,81.2470801,752.7152381,1.9644,4100,4.791219512
Memory,10,10000,88.06768506,760.2707936,1.9644,4100,4.791219512
Memory,10,10000,92.99940112,763.2707936,1.9644,4100,4.791219512
Lustre,10,10000,531.6653593,1603.606666,96.32,888,1084.684685
Lustre,10,10000,499.8202995,1763.133809,96.32,888,1084.684685
Lustre,10,10000,513.588731,1770.217142,96.32,888,1084.684685
Disk,9,1000,0.136567867,672.21,2.2,422,5.213270142
Disk,9,1000,2.871518467,670.21,2.2,422,5.213270142
Disk,9,1000,0.01,830.2186667,2.2,422,5.213270142
Memory,9,1000,14.80323453,520.3355556,1.9644,4100,0.479121951
Memory,9,1000,11.97843669,386.5016667,1.9644,4100,0.479121951
Memory,9,1000,3.504043167,384.2516667,1.9644,4100,0.479121951
Lustre,9,1000,142.8344641,583.2958333,96.32,888,108.4684685
Lustre,9,1000,39.83903293,580.1033333,96.32,888,108.4684685
Lustre,9,1000,53.85429133,890.9883333,96.32,888,108.4684685
Disk,8,100,0.068283933,270.8333333,2.2,408,0.539215686
Disk,8,100,5.302785375,139.25,2.2,408,0.539215686
Disk,8,100,0.136567867,271.5,2.2,408,0.539215686
Memory,8,100,0.247529258,293.1266667,1.9644,4100,0.047912195
Memory,8,100,0.1024259,292.46,1.9644,4100,0.047912195
Memory,8,100,8.523135733,298.46,1.9644,4100,0.047912195
Lustre,8,100,43.83234671,309.95,96.32,888,10.84684685
Lustre,8,100,36.28711586,157.475,96.32,888,10.84684685
Lustre,8,100,23.34658647,468.8416667,96.32,888,10.84684685
